country,continent,population,Cases,Recovered,Deaths
Saint-Helena,Africa,6115,2166,2,
Falkland-Islands,South-America,3539,1930,1930,
Montserrat,North-America,4965,1403,1376,8
Diamond-Princess,,,712,699,13
Vatican-City,Europe,799,29,29,
Western-Sahara,Africa,626161,10,9,1
MS-Zaandam,,,9,7,2
China,Asia,1448471400,503302,379053,5272
Tokelau,Oceania,1378,80,,
Saint-Pierre-Miquelon,North-America,5759,3452,2449,2
Tuvalu,Oceania,12066,2943,,1
Niue,Oceania,1622,1059,1056,
Nicaragua,North-America,6779100,18491,4225,225
Tajikistan,Asia,9957464,17786,17264,125
Djibouti,Africa,1016097,15690,15427,189
Greenland,North-America,56973,11971,2761,21
Eritrea,Africa,3662244,10189,10086,103
Niger,Africa,26083660,9931,8890,312
Equatorial-Guinea,Africa,1496662,17229,16907,183
Liberia,Africa,5305117,8090,7783,295
Nauru,Oceania,10903,5393,5347,1
Caribbean-Netherlands,North-America,26647,11682,10476,38
Bermuda,North-America,61939,18860,18685,165
Gambia,Africa,2558482,12626,12189,372
Grenada,North-America,113475,19693,19358,238
Comoros,Africa,907419,9109,8939,161
Guinea-Bissau,Africa,2063367,9614,8929,177
Chad,Africa,17413580,7701,4874,194
Vanuatu,Oceania,321832,12019,11976,14
Sint-Maarten,North-America,43966,11051,10905,92
Wallis-and-Futuna,Oceania,10982,3550,438,8
St-Barth,North-America,9945,5507,,6
Saint-Kitts-and-Nevis,North-America,53871,6607,6559,48
Timor-Leste,Asia,1369429,23460,23102,138
Kiribati,Oceania,123419,5085,2703,24
Burkina-Faso,Africa,22102838,22114,21596,400
Liechtenstein,Europe,38387,21574,,94
Gibraltar,Europe,33704,20550,,113
South-Sudan,Africa,11618511,18819,18115,147
Monaco,Europe,39783,17181,,67
Samoa,Oceania,202239,17006,1605,31
Tonga,Oceania,107749,16950,15638,13
Marshall-Islands,Oceania,60057,16138,16121,17
Dominica,North-America,72344,16038,15964,74
CAR,Africa,5016678,15440,15200,113
Saint-Martin,North-America,39730,12324,,63
Yemen,Asia,31154867,11945,9124,2159
St-Vincent-Grenadines,North-America,111551,9674,9493,124
Antigua-and-Barbuda,North-America,99509,9106,8954,146
Sierra-Leone,Africa,8306436,7779,,126
British-Virgin-Islands,North-America,30596,7392,,64
Cook-Islands,Oceania,17571,7203,7150,2
Sao-Tome-and-Principe,Africa,227679,6778,6685,80
Turks-and-Caicos,North-America,39741,6752,6709,40
Palau,Oceania,18233,6290,6276,10
Anguilla,North-America,15230,3904,,12
Cura&ccedil;ao,North-America,165529,45986,44720,295
Isle-of-Man,Europe,85732,38008,,116
Cayman-Islands,North-America,67277,31472,8553,37
Congo,Africa,5797805,25375,24006,386
Somalia,Africa,16841795,27334,13182,1361
Mayotte,Africa,286259,42027,,188
Bahamas,North-America,400516,38084,36366,844
Aruba,North-America,107609,44224,42438,292
Madagascar,Africa,29178077,68486,66862,1426
Cabo-Verde,Africa,567678,64477,63755,417
Sudan,Africa,45992020,63993,58947,5046
Mauritania,Africa,4901981,63848,62471,997
Bhutan,Asia,787941,62697,61564,21
Syria,Asia,19364809,57743,54578,3165
Burundi,Africa,12624840,54721,53569,38
Seychelles,Africa,99426,51220,51048,172
Gabon,Africa,2331533,49051,48674,307
Andorra,Europe,77463,48015,,165
Papua-New-Guinea,Oceania,9292169,46864,46168,670
Tanzania,Africa,63298550,43223,,846
Mauritius,Africa,1274727,43025,41278,1051
Togo,Africa,8680837,39572,39281,290
Guinea,Africa,13865691,38572,37757,468
Lesotho,Africa,2175699,36138,25980,723
Haiti,North-America,11680283,34667,33734,860
Faeroe-Islands,Europe,49233,34658,,28
Mali,Africa,21473764,33164,32332,743
Saint-Lucia,North-America,185113,30215,29805,410
Benin,Africa,12784726,28036,27847,163
Macao,Asia,667490,27673,3487,123
Micronesia,Oceania,117489,26547,,65
San-Marino,Europe,34085,26185,26011,128
Solomon-Islands,Oceania,721159,25954,,199
French-Guiana,South-America,314169,98041,11254,420
Channel-Islands,Europe,176463,101717,101321,228
Kyrgyzstan,Asia,6728271,206897,196406,2991
Fiji,Oceania,909466,69117,67226,885
Suriname,South-America,596831,82588,,1408
Guadeloupe,North-America,399794,203235,,1021
El-Salvador,North-America,6550389,201855,179410,4230
Trinidad-and-Tobago,North-America,1406585,191496,187078,4390
Maldives,Asia,540985,186694,163687,316
Namibia,Africa,2633874,172389,167099,4106
Uganda,Africa,48432863,172149,100431,3632
Ghana,Africa,32395450,171889,170425,1462
Jamaica,North-America,2985094,156869,,3756
Cambodia,Asia,17168639,139103,136044,3056
Rwanda,Africa,13600464,133518,132039,1468
Cameroon,Africa,27911548,125379,123280,1974
Malta,Europe,444033,121420,120149,885
Barbados,North-America,288023,110578,108647,648
Angola,Africa,35027343,107327,103419,1937
DRC,Africa,95240792,99338,84489,1468
Malawi,Africa,20180839,89535,,2686
Senegal,Africa,17653671,89053,87024,1971
Ivory-Coast,Africa,27742298,88384,87497,835
New-Caledonia,Oceania,290915,80064,,314
French-Polynesia,Oceania,284164,79254,,650
Eswatini,Africa,1184817,75191,73116,1427
Guyana,South-America,794045,74137,72013,1300
Belize,North-America,412190,71409,,688
Belarus,Europe,9432800,994037,985592,7118
Venezuela,South-America,29266991,552695,546537,5856
Egypt,Africa,106156692,516023,442182,24613
Uzbekistan,Asia,34382084,253662,241486,1637
Qatar,Asia,2979915,514524,513687,690
Ecuador,South-America,18113361,1070188,1034145,36043
UAE,Asia,10081785,1067030,,2349
Panama,North-America,4446964,1059893,1051102,8727
Uruguay,South-America,3496016,1041111,1030944,7664
Mongolia,Asia,3378078,1011496,1009212,2284
Nepal,Asia,30225582,1003450,991322,12031
Latvia,Europe,1848837,982505,971406,6715
Saudi-Arabia,Asia,35844909,841469,,9646
Paraguay,South-America,7305843,837602,,20155
Azerbaijan,Asia,10300205,835234,824089,10400
Bahrain,Asia,1783983,729549,727915,1574
Cyprus,Asia,1223387,681110,679745,1365
Dominican-Republic,North-America,11056370,675890,671316,4384
Sri-Lanka,Asia,21575842,672754,655852,16897
Kuwait,Asia,4380326,667158,,2570
Myanmar,Asia,55227143,641873,620159,19495
